,runtime,Mean,Std,Nent,ChanName,Chan,ChipSN,io_group,io_channel
33,1692728508,15.46,0.88,1222,ch33,33,3H0004,1,5
34,1692728508,19.14,0.89,1664,ch34,34,3H0004,1,5
35,1692728508,17.89,0.84,1270,ch35,35,3H0004,1,5
36,1692728508,21.2,0.87,1214,ch36,36,3H0004,1,5
37,1692728508,20.43,0.88,1210,ch37,37,3H0004,1,5
38,1692728508,19.2,0.82,1208,ch38,38,3H0004,1,5
39,1692728508,19.44,0.89,1214,ch39,39,3H0004,1,5
40,1692728508,14.03,1.44,1207,ch40,40,3H0004,1,5
41,1692728508,16.14,0.91,1215,ch41,41,3H0004,1,5
42,1692728508,15.7,0.9,1209,ch42,42,3H0004,1,5
43,1692728508,20.92,0.86,1216,ch43,43,3H0004,1,5
44,1692728508,20.29,0.83,1211,ch44,44,3H0004,1,5
45,1692728508,17.77,0.83,1216,ch45,45,3H0004,1,5
46,1692728508,12.56,0.85,1241,ch46,46,3H0004,1,5
47,1692728508,19.05,0.8,1752,ch47,47,3H0004,1,5
48,1692728508,15.08,0.93,1280,ch48,48,3H0004,1,5
49,1692728508,16.88,0.85,1223,ch49,49,3H0004,1,5
50,1692728508,16.68,0.83,1222,ch50,50,3H0004,1,5
51,1692728508,17.09,0.89,1219,ch51,51,3H0004,1,5
52,1692728508,17.65,0.81,1212,ch52,52,3H0004,1,5
53,1692728508,15.25,0.94,1214,ch53,53,3H0004,1,5
54,1692728508,21.17,0.94,1205,ch54,54,3H0004,1,5
55,1692728508,16.14,0.9,1209,ch55,55,3H0004,1,5
56,1692728508,18.54,2.88,1220,ch56,56,3H0004,1,5
57,1692728508,16.61,1.06,1216,ch57,57,3H0004,1,5
58,1692728508,18.71,0.86,1210,ch58,58,3H0004,1,5
59,1692728508,21.54,0.84,1214,ch59,59,3H0004,1,5
60,1692728508,20.83,0.84,1205,ch60,60,3H0004,1,5
61,1692728508,19.05,0.83,1210,ch61,61,3H0004,1,5
62,1692728508,18.11,0.93,1224,ch62,62,3H0004,1,5
63,1692728508,20.16,0.87,1119,ch63,63,3H0004,1,5
0,1692728546,18.99,0.88,1186,ch00,0,3H0005,1,5
1,1692728546,14.38,0.95,1200,ch01,1,3H0005,1,5
2,1692728546,19.23,0.9,1210,ch02,2,3H0005,1,5
3,1692728546,17.68,0.86,1223,ch03,3,3H0005,1,5
4,1692728546,16.3,0.85,1212,ch04,4,3H0005,1,5
5,1692728546,19.7,0.87,1202,ch05,5,3H0005,1,5
6,1692728546,20.52,0.9,1217,ch06,6,3H0005,1,5
7,1692728546,18.9,0.88,1211,ch07,7,3H0005,1,5
8,1692728546,15.41,1.01,1215,ch08,8,3H0005,1,5
9,1692728546,18.12,0.88,1203,ch09,9,3H0005,1,5
10,1692728546,19.65,0.84,1212,ch10,10,3H0005,1,5
11,1692728546,14.8,0.94,1218,ch11,11,3H0005,1,5
12,1692728546,16.46,0.82,1219,ch12,12,3H0005,1,5
13,1692728546,18.76,0.82,1566,ch13,13,3H0005,1,5
14,1692728546,19.51,0.84,1247,ch14,14,3H0005,1,5
15,1692728546,17.57,0.82,1211,ch15,15,3H0005,1,5
16,1692728546,13.94,0.86,1211,ch16,16,3H0005,1,5
17,1692728546,15.95,0.88,1201,ch17,17,3H0005,1,5
18,1692728546,14.68,0.86,1209,ch18,18,3H0005,1,5
19,1692728546,16.61,0.87,1226,ch19,19,3H0005,1,5
20,1692728546,18.09,0.84,1209,ch20,20,3H0005,1,5
21,1692728546,17.79,0.84,1213,ch21,21,3H0005,1,5
22,1692728546,18.32,0.85,1214,ch22,22,3H0005,1,5
23,1692728546,18.04,0.88,1213,ch23,23,3H0005,1,5
24,1692728546,20.59,0.88,1246,ch24,24,3H0005,1,5
25,1692728546,16.72,0.88,1235,ch25,25,3H0005,1,5
26,1692728546,19.38,0.89,1637,ch26,26,3H0005,1,5
27,1692728546,17.58,0.85,1305,ch27,27,3H0005,1,5
28,1692728546,20.12,0.86,1247,ch28,28,3H0005,1,5
29,1692728546,16.11,0.91,1251,ch29,29,3H0005,1,5
30,1692728546,19.64,0.9,1230,ch30,30,3H0005,1,5
31,1692728546,17.72,0.84,1244,ch31,31,3H0005,1,5
32,1692728546,19.02,0.87,1229,ch32,32,3H0005,1,5
33,1692728546,16.96,0.84,1232,ch33,33,3H0005,1,5
34,1692728546,16.88,0.85,1245,ch34,34,3H0005,1,5
35,1692728546,18.16,0.85,1179,ch35,35,3H0005,1,5
36,1692728546,10.68,0.85,1233,ch36,36,3H0005,1,5
37,1692728546,16.07,0.91,1246,ch37,37,3H0005,1,5
38,1692728546,17.05,0.86,1225,ch38,38,3H0005,1,5
39,1692728546,19,0.87,1700,ch39,39,3H0005,1,5
40,1692728546,12.88,1.44,1311,ch40,40,3H0005,1,5
41,1692728546,20.85,0.89,1231,ch41,41,3H0005,1,5
42,1692728546,17.43,0.86,1246,ch42,42,3H0005,1,5
43,1692728546,14.06,0.89,1227,ch43,43,3H0005,1,5
44,1692728546,17.71,0.84,1244,ch44,44,3H0005,1,5
45,1692728546,15.54,0.87,1230,ch45,45,3H0005,1,5
46,1692728546,16.62,0.86,1248,ch46,46,3H0005,1,5
47,1692728546,16.2,0.84,1234,ch47,47,3H0005,1,5
48,1692728546,17.21,0.84,1247,ch48,48,3H0005,1,5
49,1692728546,19.16,0.85,1239,ch49,49,3H0005,1,5
50,1692728546,12.4,0.82,1242,ch50,50,3H0005,1,5
51,1692728546,15.11,0.94,1231,ch51,51,3H0005,1,5
52,1692728546,18.65,0.87,1235,ch52,52,3H0005,1,5
53,1692728546,17.84,0.86,1796,ch53,53,3H0005,1,5
54,1692728546,17.44,0.87,1341,ch54,54,3H0005,1,5
55,1692728546,15.96,0.93,1254,ch55,55,3H0005,1,5
56,1692728546,16.52,4.65,1257,ch56,56,3H0005,1,5
57,1692728546,16.55,1.11,1242,ch57,57,3H0005,1,5
58,1692728546,16.95,0.87,1246,ch58,58,3H0005,1,5
59,1692728546,18.39,0.91,1251,ch59,59,3H0005,1,5
60,1692728546,18.77,0.89,1250,ch60,60,3H0005,1,5
61,1692728546,23.76,0.9,1232,ch61,61,3H0005,1,5
62,1692728546,16.97,0.87,1226,ch62,62,3H0005,1,5
63,1692728546,18.96,0.86,1131,ch63,63,3H0005,1,5
0,1692728579,18.91,0.86,1221,ch00,0,3H0005,1,5
1,1692728579,14.31,0.94,1221,ch01,1,3H0005,1,5
2,1692728579,19.18,0.91,1214,ch02,2,3H0005,1,5
3,1692728579,17.66,0.85,1207,ch03,3,3H0005,1,5
4,1692728579,16.29,0.85,1214,ch04,4,3H0005,1,5
5,1692728579,19.7,0.87,1213,ch05,5,3H0005,1,5
6,1692728579,20.44,0.9,1233,ch06,6,3H0005,1,5
7,1692728579,18.82,0.88,1213,ch07,7,3H0005,1,5
8,1692728579,15.33,0.99,1212,ch08,8,3H0005,1,5
9,1692728579,18.09,0.85,1222,ch09,9,3H0005,1,5
10,1692728579,19.66,0.81,1217,ch10,10,3H0005,1,5
11,1692728579,14.78,0.92,1204,ch11,11,3H0005,1,5
12,1692728579,16.43,0.84,1214,ch12,12,3H0005,1,5
13,1692728579,18.75,0.87,1216,ch13,13,3H0005,1,5
14,1692728579,19.54,0.87,1220,ch14,14,3H0005,1,5
15,1692728579,17.56,0.84,1223,ch15,15,3H0005,1,5
16,1692728579,13.91,0.84,1218,ch16,16,3H0005,1,5
17,1692728579,15.9,0.86,1217,ch17,17,3H0005,1,5
18,1692728579,14.62,0.89,1207,ch18,18,3H0005,1,5
19,1692728579,16.48,0.93,1202,ch19,19,3H0005,1,5
20,1692728579,18.14,0.85,1214,ch20,20,3H0005,1,5
21,1692728579,17.8,0.85,1225,ch21,21,3H0005,1,5
22,1692728579,18.34,0.87,1235,ch22,22,3H0005,1,5
23,1692728579,17.99,0.86,1211,ch23,23,3H0005,1,5
24,1692728579,20.57,0.9,1222,ch24,24,3H0005,1,5
25,1692728579,16.72,0.89,1244,ch25,25,3H0005,1,5
26,1692728579,19.3,0.88,1213,ch26,26,3H0005,1,5
27,1692728579,17.56,0.82,1223,ch27,27,3H0005,1,5
28,1692728579,20.05,0.81,1208,ch28,28,3H0005,1,5
29,1692728579,16.02,0.9,1214,ch29,29,3H0005,1,5
30,1692728579,19.63,0.85,1219,ch30,30,3H0005,1,5
31,1692728579,17.67,0.85,1210,ch31,31,3H0005,1,5
32,1692728579,19.06,0.85,1222,ch32,32,3H0005,1,5
33,1692728579,16.92,0.85,1224,ch33,33,3H0005,1,5
34,1692728579,16.87,0.85,1219,ch34,34,3H0005,1,5
35,1692728579,18.11,0.86,1204,ch35,35,3H0005,1,5
36,1692728579,10.68,0.85,1205,ch36,36,3H0005,1,5
37,1692728579,16.01,0.89,1214,ch37,37,3H0005,1,5
38,1692728579,17.02,0.86,1671,ch38,38,3H0005,1,5
39,1692728579,18.97,0.86,1278,ch39,39,3H0005,1,5
40,1692728579,12.88,1.87,1209,ch40,40,3H0005,1,5
41,1692728579,20.8,0.87,1210,ch41,41,3H0005,1,5
42,1692728579,17.37,0.85,1220,ch42,42,3H0005,1,5
43,1692728579,14.03,0.86,1217,ch43,43,3H0005,1,5
44,1692728579,17.73,0.83,1216,ch44,44,3H0005,1,5
45,1692728579,15.46,0.92,1213,ch45,45,3H0005,1,5
46,1692728579,16.59,0.84,1218,ch46,46,3H0005,1,5
47,1692728579,16.11,0.82,1219,ch47,47,3H0005,1,5
48,1692728579,17.14,0.82,1225,ch48,48,3H0005,1,5
49,1692728579,19.09,0.85,1216,ch49,49,3H0005,1,5
50,1692728579,12.35,0.85,1202,ch50,50,3H0005,1,5
51,1692728579,15.1,0.92,1196,ch51,51,3H0005,1,5
52,1692728579,18.6,0.88,1781,ch52,52,3H0005,1,5
53,1692728579,17.81,0.81,1285,ch53,53,3H0005,1,5
54,1692728579,17.44,0.84,1226,ch54,54,3H0005,1,5
55,1692728579,15.92,0.91,1223,ch55,55,3H0005,1,5
56,1692728579,16.6,2.71,1221,ch56,56,3H0005,1,5
57,1692728579,16.52,0.93,1216,ch57,57,3H0005,1,5
58,1692728579,16.93,0.88,1212,ch58,58,3H0005,1,5
59,1692728579,18.35,0.87,1215,ch59,59,3H0005,1,5
60,1692728579,18.68,0.86,1229,ch60,60,3H0005,1,5
61,1692728579,23.76,0.89,1211,ch61,61,3H0005,1,5
62,1692728579,16.86,0.89,1213,ch62,62,3H0005,1,5
63,1692728579,18.94,0.88,1114,ch63,63,3H0005,1,5
0,1692728616,20.11,0.87,1185,ch00,0,3H0006,1,5
